,SurahNo,AyahNo,EnglishTranslation,Tafseer
3766,36,62,"""But he did lead astray a great multitude of you. Did ye not, then, understand?","b'54. That is, If you had been deprived of reason and you had served your enemy instead of your Lord, you could have the reason to offer an excuse. But you, in fact, had been blessed with reason by Allah and you were using it to advantage in all the affairs of the world, and you had been warned by Allah through the Prophets as well, yet, when you were deceived by your enemy and he succeeded in leading you astray, you could not be excused from the responsibility of your folly.'"
3767,36,63,"""This is the Hell of which ye were (repeatedly) warned!",b'There is no commentary by Abul Maududi available for this verse.'
3768,36,64,"""Embrace ye the (fire) this Day, for that ye (persistently) rejected (Truth).""",b'There is no commentary by Abul Maududi available for this verse.'
3769,36,65,"That Day shall We set a seal on their mouths. But their hands will speak to us, and their feet bear witness, to all that they did.","b'55. This command will be given in respect of the stubborn culprits, who will refuse to confess their crimes, will belie the witnesses, and will also not acknowledge the genuineness of their conduct-book. Then will Allah Almighty command: Well, stop your babbling. Just see what your own limbs say about your misdeeds. In this connection, here only the evidence to be given by the hands and the feet has been mentioned. But at other places it has been said that their eyes and their ears and their tongues, and the very skins of their body, will tell how they had been employed in the world. They should not forget the Day when their own tongues and their own hands and feet will bear testimony to their misdeeds. (Surah An-Noor, Ayat 24) Then, when all will have reached there, their ears and their eyes and their very skins will bear witness against them concerning what they had been doing in the world. (Surah HaMim-Sajdah, Ayat 20). The question arises: On the one hand, Allah says: We shall seal their mouths, and on the other hand, in the verse of Surah An-Noor, He says: Their tongues will bear testimony against them. How can these two things be reconciled? The answer is: To seal the mouths means to deprive them of their power of speech. That is, after this they will not be able to say whatever they like with their tongue. The testimony of their tongues means that their tongues themselves will tell how the wicked people had used them, what blasphemies and lies they had been made to utter, what mischief they had invented and what falsehoods they had been made to say on different occasions.'"
3770,36,66,"If it had been our Will, We could surely have blotted out their eyes; then should they have run about groping for the Path, but how could they have seen?",b'There is no commentary by Abul Maududi available for this verse.'
3771,36,67,"And if it had been Our Will, We could have transformed them (to remain) in their places; then should they have been unable to move about, nor could they have returned (after error).","b'56. After depicting the scene of Resurrection, the people are being warned to this effect: The Resurrection may seem yet far off to you, but even if you consider seriously your life in this world of which you are so proud, you will see how helpless you are in the powerful grip of Allah. Your eyes by virtue of whose sight you are carrying out all your obligations in the world can be blinded at one command of Allah. Your legs on whose strength you are showing all this activity can become paralyzed as and when Allah wills. As long as the powers and capabilities granted by Allah continue to function, you remain lost in the arrogance of your self, but as soon as one of them fails to function, you come to understand how helpless you are.'"
3772,36,68,"If We grant long life to any, We cause him to be reversed in nature: Will they not then understand?","b'57. \x93Reverse him in creation,\x94 means that in old age Allah turns him back to the state of childhood. He becomes unable to stand and walk without the help and support of others; he is fed by others; he urinates and defecates in bed; talks childishly and is laughed at by others. In short, towards the end of life he returns to the same state of weakness with which he had started life in this world.'"
3773,36,69,"We have not instructed the (Prophet) in Poetry, nor is it meet for him: this is no less than a Message and a Qur'an making things clear:","b'58. This is a rejoinder to the disbelievers, who slighted the Prophet (peace be upon him) and his message by branding him a poet when he preached Tauhid and talked of the Hereafter, life-after-death, and Hell and Heaven. (For further explanation, see (Surah Ash-Shuara, Ayats 224-227) and the E.Ns thereof).'"
3774,36,70,"That it may give admonition to any (who are) alive, and that the charge may be proved against those who reject (Truth).","b'59. Every living person means: Every person who is capable of thinking and understanding, who is not like a stone, which neither hears nor understands nor moves from its place however rationally and sympathetically one may explain the distinction between the truth and falsehood and give admonition before him.'"
3775,36,71,"See they not that it is We Who have created for them - among the things which Our hands have fashioned - cattle, which are under their dominion?-","b'60. The word \x93hands\x94 has been used metaphorically for Allah. This does not mean that, God forbid, Allah has a body and He works with the hands like human beings, but it means to impress that Allah has made these things Himself, and none else has any share in the matter of their creation.'"
3776,36,72,And that We have subjected them to their (use)? of them some do carry them and some they eat:,b'There is no commentary by Abul Maududi available for this verse.'
3777,36,73,"And they have (other) profits from them (besides), and they get (milk) to drink. Will they not then be grateful?","b'61. It is ingratitude to regard a blessing as a gift of someone other than the donor, to be grateful to another for it, and to cherish the hope of receiving it or to seek it from another than the donor. Likewise, it is also ingratitude that one should use a blessing against the will of the donor. Therefore, a mushrik or a disbeliever or a hypocrite or a sinful person cannot be regarded as a grateful servant of God when he utters words of thankfulness only with the tongue. The disbelievers of Makkah did not deny that the cattle had been created by Allah; none of them said that the other deities had any hand in their creation. But despite knowing all this when they paid homage to their deities for the blessings granted by Allah, presented offerings before them and prayed to them for more blessings and offered sacrifices for their sake, their verbal gratitude became meaningless. That is why Allah has regarded them as guilty of ingratitude and thanklessness.'"
3778,36,74,"Yet they take (for worship) gods other than Allah, (hoping) that they might be helped!",b'There is no commentary by Abul Maududi available for this verse.'
3779,36,75,They have not the power to help them: but they will be brought up (before Our Judgment-seat) as a troop (to be condemned).,"b'62. That is, the poor false gods themselves are dependent upon their worshipers for their survival and their safety and their needs. But for their multitudes they could not survive as gods even for a day. These people are behaving as their humble servants. They are setting up and decorating their shrines; they carry out propaganda for them; they fight and quarrel with others for their sake. Then only are they recognized as gods. They are not the real God, Who, whether someone recognizes Him or not, is ruling over the whole universe by His own might and authority.'"
3780,36,76,"Let not their speech, then, grieve thee. Verily We know what they hide as well as what they disclose.","b'63. The address is to the Prophet (peace be upon him). Here the allusion is to the campaign of vilification which the chiefs of the disbelievers of Makkah were carrying on against him. They knew in their hearts and acknowledged in their private assemblies that the charges they brought against him were absolutely baseless. In order to create suspicions against him in the minds of the people, they branded him a poet, sorcerer, magician, madman, etc. But their consciences recognized, and they also acknowledged before one another, that whatever they were uttering was false, which they were forging only to frustrate his mission. That is why Allah says to His Prophet: Do not grieve at their absurd and meaningless talk. Those who are opposing and resisting the truth with falsehood shall ultimately meet with failure in this world and see their evil end in the Hereafter, too.'"
3781,36,77,Doth not man see that it is We Who created him from sperm? yet behold! he (stands forth) as an open adversary!,"b'64. Here the disbelievers\x92 question cited in (verse 48) above, is being answered by reason and argument. The question: When will the threat of Resurrection be carried out? had not been asked with a view to find out the exact date of the coming of the Hereafter. But they asked it because they thought it was impossible, rather irrational, that human beings would be raised back to life after death. That is why, in reply to their question, arguments are being given for the possibility of the Hereafter. According to the traditions related by Ibn Abbas, Qatadah and Said bin Jubair, one of the chiefs of Makkah, on this occasion, came up with a rotten bone of a dead person, from the graveyard. He broke and crushed it into pieces before the Prophet (peace be upon him) and scattering its particles in the air, said: O Muhammad, you say that the dead will be raised back to life. Tell us who will give life to these decayed and rotten bones? The answer was given immediately in the form of these verses.'"
3782,36,78,"And he makes comparisons for Us, and forgets his own (origin and) Creation: He says, ""Who can give life to (dry) bones and decomposed ones (at that)?""","b'66. That is, he regards Us powerless and weak like the creation, and thinks that just as man cannot raise the dead back to life, so also can\x92t We.'"
3783,36,79,"Say, ""He will give them life Who created them for the first time! for He is Well-versed in every kind of creation!-",b'There is no commentary by Abul Maududi available for this verse.'
3784,36,80,"""The same Who produces for you fire out of the green tree, when behold! ye kindle therewith (your own fires)!","b'68. It either means that He has placed the inflammable matter in the green trees due to which people kindle fire from the pieces of wood. Or, it is an allusion to the markh and afar trees, whose green branches the Arabs struck against each other to produce the sparks. In ancient times the Bedouins used this method of kindling the fire and might even be using the same today.'"
3785,36,81,"""Is not He Who created the heavens and the earth able to create the like thereof?"" - Yea, indeed! for He is the Creator Supreme, of skill and knowledge (infinite)!",b'There is no commentary by Abul Maududi available for this verse.'
3786,36,82,"Verily, when He intends a thing, His Command is, ""be"", and it is!",b'There is no commentary by Abul Maududi available for this verse.'
3787,36,83,So glory to Him in Whose hands is the dominion of all things: and to Him will ye be all brought back.,b'There is no commentary by Abul Maududi available for this verse.'
3788,37,1,"By those who range themselves in ranks,",b'There is no commentary by Abul Maududi available for this verse.'
3789,37,2,"And so are strong in repelling (evil),",b'There is no commentary by Abul Maududi available for this verse.'
3790,37,3,And thus proclaim the Message (of Allah)!,"b'.1 The majority of the commentators agree that all these three groups imply the groups of the angels, and the same explanation of it has been reported from Abdullah bin Masud, Ibn Abbas, Qatadah, Masruq Said bin Jubair, Ikrimah, Mujahid, Suddi, Ibn Zaid and Rabi bin Anas. Some commentators have given other commentaries also, but this commentary is more in keeping with the context. The words \x93range in ranks\x94 refer to the fact that all the angels who arc administering the affairs of the universe, are the humble servants of Allah, and are ever ready to carry out any service and implement any of His commands. This theme has been further repeated in (verse 165 )below, where the angels say with regard to themselves: \x93We are the ranged servants (of Allah).\x94'"
3791,37,4,"Verily, verily, your Allah is one!-","b'2. This is the truth to impress which an oath has been taken by the angels bearing the above-mentioned qualities. In other words, what is meant to be said is: The whole system of the universe which is functioning in the service of Allah, and all those manifestations of this universe which bring the evil consequences of deviation from the service of Allah before men, testify that the \x93Deity\x94 of men is One and only One.\x94'"
3792,37,5,"Lord of the heavens and of the earth and all between them, and Lord of every point at the rising of the sun!","b'3. The truth that has been conveyed in these verses is: The Master and Ruler of the Universe is the Real Deity of men. He alone can be, and should be the Deity. It would be utterly irrational that the Rabb (i.e. Master, Ruler, Guardian and Sustainer) of the man should be one but his Ilah (Deity) another. The basic reason for worship is that man should naturally bow down before and acknowledge the superiority of him who can bring him harm and good, who can fulfill his needs and requirements, who can make or mar his destiny and has power over his life and survival itself. If man understands this, he will automatically understand that to worship the one who has no power and not to worship Him Who has All the powers are both against reason and nature. The One who alone is worthy of worship is He who possesses the powers. As far as the powerless beings are concerned, they are neither worthy of worship, nor is it in any way profitable to worship and pray to them, for it is not in their power to take any action whatsoever on man\x92s petitions and prayers. To bow before them humbly and to petition them would be as foolish and meaningless an act as to bow before and petition another one who has himself gone before a ruler to make obeisance and submit his petitions.'"
3793,37,6,"We have indeed decked the lower heaven with beauty (in) the stars,-","b'5. \x93Lower heaven\x94: The nearest heaven which can be seen with the naked eye, without the help of a telescope. The worlds beyond which can be seen through the telescopes of different powers, and the worlds which have not so far been observed through any means, are the distant heavens. In this connection, one should also note that \x93sama\x94 is not something definite and determined, but man generally has been using this word and its other synonyms for the heavens since the earliest times.'"
3794,37,7,"(For beauty) and for guard against all obstinate rebellious evil spirits,","b'6. That is, heaven is not merely empty space so that anyone who likes may enter it, but it has been fortified strongly, and its different regions have been bounded by such strong barriers that it is impossible for any rebel satan to exceed them. Every star and planet in the universe has its own circle and sphere escaping from which is as difficult as entering it. With the naked eye one can only see empty space, but, in reality, there are countless regions in space which have been even more strongly fortified and protected than they could be by steel walls. One can imagine and estimate the strength of these barriers by the difficulties man is experiencing in the way of reaching the moon, which is our nearest neighbor in space. Similar difficulties prevent the other creation of the earth, the jinns, from ascending towards the heavens.'"
3795,37,8,"(So) they should not strain their ears in the direction of the Exalted Assembly but be cast away from every side,",b'There is no commentary by Abul Maududi available for this verse.'
3796,37,9,"Repulsed, for they are under a perpetual penalty,",b'There is no commentary by Abul Maududi available for this verse.'
3797,37,10,"Except such as snatch away something by stealth, and they are pursued by a flaming fire, of piercing brightness.","b'7. To understand this one should keep in view the fact that, in the time of the Prophet (peace be upon him), soothsaying was in great vogue in Arabia. The soothsayers used to make predictions, give news of the unseen, tell the whereabouts of the lost properties and articles, and the people used to visit them to know the events of their past and future lives. These soothsayers claimed that they had some jinns and satans under their control who brought them all sorts of news. In this environment when the Prophet (peace be upon him) was appointed to Prophethood, and he began to recite the verses of the Quran, which described the past history and contained news of the future, and also stated that an angel brought him these verses, his opponents immediately branded him a soothsayer and started telling others that, like the other soothsayers, he too was associated with a satan, who brought him news from the heavens, which he presented as revelations from Allah. To refute this accusation, Allah says: The satans have no access to heaven. They have no power to hear the conversations of the angels and bring its news for others. If by chance a little of it enters the ear of a satan, and he tries to bring it down, he is followed by a flashing flame. In other words, it means: The grand system of the universe, which is functioning under the agency of the angels has been firmly guarded and secured against any interference of the satans. Not to speak of interfering in it, they do not even have the power to obtain any kind of information about it. (For further explanation, see (Surah Al-Hijr, Ayats 17-18 )and the E.Ns thereof).'"
3798,37,11,"Just ask their opinion: are they the more difficult to create, or the (other) beings We have created? Them have We created out of a sticky clay!","b'8. This is an answer to the suspicions of the disbelievers of Makkah, which they presented about the Hereafter. They thought that the Hereafter was not possible, for it is impossible that the dead men should be recreated. In answer to it, Allah presents arguments for the possibility of the Hereafter and asks: If you think that the recreation of the dead men is a very difficult task which We do not have the power to accomplish, do you think it is easy to create the earth and the heavens and the countless things that they contain? Why don\x92t you use your common sense? Do you think that God for Whom it was not at all difficult to create this great universe and Who has created you in the first instance, will not have the power to create you once again?'"
3799,37,12,"Truly dost thou marvel, while they ridicule,",b'There is no commentary by Abul Maududi available for this verse.'
3800,37,13,"And, when they are admonished, pay no heed,-",b'There is no commentary by Abul Maududi available for this verse.'
3801,37,14,"And, when they see a Sign, turn it to mockery,",b'There is no commentary by Abul Maududi available for this verse.'
3802,37,15,"And say, ""This is nothing but evident sorcery!","b'10. That is, this person is talking of the world of magic in which the dead will rise, and will be produced before a court and sent to Heaven and Hell, or it may also mean: This person is talking like a madman. What he talks is a clear proof that somebody has worked magic on him; otherwise a sensible person could not talk such things.'"
3803,37,16,"""What! when we die, and become dust and bones, shall we (then) be raised up (again)",b'There is no commentary by Abul Maududi available for this verse.'
3804,37,17,"""And also our fathers of old?""",b'There is no commentary by Abul Maududi available for this verse.'
3805,37,18,"Say thou: ""Yea, and ye shall then be humiliated (on account of your evil).""","b'11. That is, Allah can make of you whatever He likes. When He willed, you came into being forthwith; when He wills, you will die at one command by Him; and then whenever He wills, His one command will raise you back to life.'"
3806,37,19,"Then it will be a single (compelling) cry; and behold, they will begin to see!","b'12. That is, when the time comes for this, it will not be difficult to reestablish the whole world. Just a single shout will be enough to make the people to wake up. Here, the word \x93shout\x94 is very meaningful. It depicts the Resurrection as though the people who had died since the beginning of the creation till the last Day were lying asleep, and a sudden command to them to wake up will cause them to rise up all at once.'"
3807,37,20,"They will say, ""Ah! Woe to us! This is the Day of Judgment!""",b'There is no commentary by Abul Maududi available for this verse.'
3808,37,21,"(A voice will say,) ""This is the Day of Sorting Out, whose truth ye (once) denied!""","b'13. It may be that this is said by the believers, or by the angels; or it may be, as it were, the common expression of the conditions prevailing in the plain of Resurrection or it may as well be another reaction of the people themselves. That is, they may be saying in their hearts. In the world, you lived in a way as if no Day of Judgment would ever come. Now you have come to your doom. This is the same Day that you used to deny.'"
3809,37,22,"""Bring ye up"", it shall be said, ""The wrong-doers and their wives, and the things they worshipped-","b'14. \x93The unjust people\x94 does not only imply those who committed injustices in the world, but as a Quranic term zalamo implies to every such person, who might have adopted the way of rebellion and disobedience against Allah.'"
3810,37,23,"""Besides Allah, and lead them to the Way to the (Fierce) Fire!",b'16. \x93gods\x94 here implies two kinds of the gods.'
3811,37,24,"""But stop them, for they must be asked:",b'There is no commentary by Abul Maududi available for this verse.'
3812,37,25,"""'What is the matter with you that ye help not each other?'""",b'There is no commentary by Abul Maududi available for this verse.'
3813,37,26,"Nay, but that day they shall submit (to Judgment);","b'17. The first sentence will be addressed to the culprits, and the second to the common spectators, who will be watching the scene of the culprits\x92 departure for Hell. This sentence itself tells of the general conditions at the time. It tells how the haughty and stubborn culprits of the world will be moving towards Hell meekly and without showing any resistance. Somewhere some kind will be seen being pushed about, and no one from among his courtiers will come forward to rescue \x93his majesty\x94. Somewhere some conqueror of the world and some dictator will be moving away in humiliation and disgrace, and his brave army itself will deliver him for the punishment. Somewhere some saint or some holy father will be seen being thrown into Hell, and no one of his disciples will bother to save him from disgrace. Somewhere some leader will be trudging helplessly towards Hell, and those who used to glorify and applaud him in the world will turn away their eyes from him. So much so that the one who was ever prepared to sacrifice everything for the beloved in the world, will feel least concerned to save him from his plight. By depicting this scene Allah wants to impress how the relationships of man with man, which are based on rebellion against Allah in the world, will break in the Hereafter, and how the pride of those who are involved in arrogance and conceit here will be ruined.'"
3814,37,27,"And they will turn to one another, and question one another.",b'There is no commentary by Abul Maududi available for this verse.'
3815,37,28,"They will say: ""It was ye who used to come to us from the right hand (of power and authority)!""","b'18. The word yameen in Arabic is used for several meanings. It may mean use of the force, or well-wishing, or swearing of an oath. Accordingly, the verse would mean.'"
3816,37,29,"They will reply: ""Nay, ye yourselves had no Faith!",b'There is no commentary by Abul Maududi available for this verse.'
3817,37,30,"""Nor had we any authority over you. Nay, it was ye who were a people in obstinate rebellion!",b'There is no commentary by Abul Maududi available for this verse.'
3818,37,31,"""So now has been proved true, against us, the word of our Lord that we shall indeed (have to) taste (the punishment of our sins).",b'There is no commentary by Abul Maududi available for this verse.'
3819,37,32,"""We led you astray: for truly we were ourselves astray.""","b'19. For explanation see ( E.Ns 51, 52, 53 of Surah Saba). 3'"
3820,37,33,"Truly, that Day, they will (all) share in the Penalty.","b'20. That is, the followers as well as the guides, misleaders as well as the misled, all shall suffer the same torment. Neither will the followers\x92 excuse be heeded that they did not go astray but had been led astray, nor the guides\x92 excuse accepted that the people themselves were not desirous of following the right way.'"
3821,37,34,Verily that is how We shall deal with Sinners.,b'There is no commentary by Abul Maududi available for this verse.'
3822,37,35,"For they, when they were told that there is no god except Allah, would puff themselves up with Pride,",b'There is no commentary by Abul Maududi available for this verse.'
3823,37,36,"And say: ""What! shall we give up our gods for the sake of a Poet possessed?""",b'There is no commentary by Abul Maududi available for this verse.'
3824,37,37,"Nay! he has come with the (very) Truth, and he confirms (the Message of) the messengers (before him).",b'21. Confirmation of the Messengers has three meanings and all the three are implied here.'
3825,37,38,Ye shall indeed taste of the Grievous Penalty;-,b'There is no commentary by Abul Maududi available for this verse.'
3826,37,39,But it will be no more than the retribution of (the Evil) that ye have wrought;-,b'There is no commentary by Abul Maududi available for this verse.'
3827,37,40,"But the sincere (and devoted) Servants of Allah,-",b'There is no commentary by Abul Maududi available for this verse.'
3828,37,41,"For them is a Sustenance determined,","b'22. \x93A provision, determined\x94: A provision all of whose characteristics have been made known to them, which they are sure to receive, about which they have also the full satisfaction that they will continue to receive it forever, and about which there is no apprehension that they may or may not get it at some time.'"
3829,37,42,"Fruits (Delights); and they (shall enjoy) honour and dignity,","b'23. In this there is also a subtle allusion to the fact that, in Paradise, the food will be provided not to serve as food but for pleasure and delight. That is, the food there will not be meant to replenish the bodily deficiencies through diet, for no deficiency whatever will occur in the body in that eternal life, nor will man have appetite, for appetite is caused by the process of assimilation in the body, nor will the body demand food for its survival. That is why the word fawakih has been used for the different kinds of food in Paradise, which contains the sense of taste and pleasure more than that of nutrition.'"
3830,37,43,"In Gardens of Felicity,",b'There is no commentary by Abul Maududi available for this verse.'
3831,37,44,Facing each other on Thrones (of Dignity):,b'There is no commentary by Abul Maududi available for this verse.'
3832,37,45,"Round will be passed to them a Cup from a clear-flowing fountain,","b'24. Here it has not been mentioned as to who will take these cups of wine round to the dwellers of Paradise. This has been stated at other places. And there will go round to them young boys, exclusively appointed for their service, who will be as lovely as well-guarded pearls. (Surah At- Toor, Ayat 24). They will be attended by brisk-moving boys who will forever remain boys. If you saw them, you would think they were pearls, scattered. (Surah Ad-Dahr, Ayat 19). Then, its further details are found in the traditions related by Anas and Samurah bin Jundub from the Prophet (peace be upon him), according to which: The children of the mushrikin will be attendants of the dwellers of Paradise. (Abu Daud Tayalisi, Tabarani, Bazzar). Though these traditions are weak as regards their links of transmitters, there are several other Ahadith which mean that children who died young, before attaining maturity, will go to Paradise. Ahadith also show that the children whose parents are blessed with Paradise will live with them so as to be a comfort of the eyes for them. This leaves behind those children whose parents will not go to Paradise. Thus, with regard to them, it seems reasonable that they will be made the attendants of the dwellers of Paradise. (For a detailed discussion of this, see Fath ul-Bari and Umdat ul-Qari: Kitab ul-Janaiz, Bab; Maqila fi-aulad il-mushrikin; Rasail-o-Masail, vol. iii, pp. 177-187).'"
3833,37,46,"Crystal-white, of a taste delicious to those who drink (thereof),",b'There is no commentary by Abul Maududi available for this verse.'
3834,37,47,Free from headiness; nor will they suffer intoxication therefrom.,"b'27. That is, the wine of Paradise will be free from both the evils which are found in the wine of the world. The wine of the world, first of all, afflicts man with its stink; then it embitters his taste, upsets his stomach, affects his mind and causes illusion; then it affects the liver and spoils the health generally. Then, when the intoxication is gone, it leaves behind other ill-effects on the body. Its other evil is that man gets drunk with it, talks nonsense and brawls. This is how the wine affects man\x92s mind and reason. Man suffers both these evil effects of the wine only for the sake of delight and pleasure. Allah says that the wine of Paradise will certainly afford and give full pleasure and delight, but it will be free from the kinds of the evils that go with the worldly wine.'"
3835,37,48,"And besides them will be chaste women, restraining their glances, with big eyes (of wonder and beauty).","b'28. Probably, these will be the girls who died before attaining the age of discretion in the world, and whose parents did not deserve to enter Paradise. This can be said on the basis of analogy that just as the boys similarly placed will be appointed for the service of the dwellers of Paradise, and they will ever remain boys, so will the girls be made the houris and they will ever remain young and beautiful. The correct knowledge, however, is with Allah.'"
3836,37,49,As if they were (delicate) eggs closely guarded.,"b'30. The words of the text actually mean this: As if they were the hidden or well preserved eggs. The commentators have given different interpretations of these words, but the correct commentary is the one which Umm Salamah has related from the Prophet (peace be upon him). She says that when she asked the Prophet (peace be upon him), the meaning of this verse, he said: Their delicacy and elegance and tenderness will be like the thin skin which is there between the shell of the egg and its fleshy part. (Ibn Jarir).'"
3837,37,50,Then they will turn to one another and question one another.,b'There is no commentary by Abul Maududi available for this verse.'
3838,37,51,"One of them will start the talk and say: ""I had an intimate companion (on the earth),",b'There is no commentary by Abul Maududi available for this verse.'
3839,37,52,"""Who used to say, 'what! art thou amongst those who bear witness to the Truth (of the Message)?",b'There is no commentary by Abul Maududi available for this verse.'
3840,37,53,"""'When we die and become dust and bones, shall we indeed receive rewards and punishments?'""","b'31. That is, were you also one of those credulous people who put their faith in an irrational and impossible thing like life-after-death.'"
3841,37,54,"(A voice) said: ""Would ye like to look down?""",b'There is no commentary by Abul Maududi available for this verse.'
3842,37,55,He looked down and saw him in the midst of the Fire.,b'There is no commentary by Abul Maududi available for this verse.'
3843,37,56,"He said: ""By Allah! thou wast little short of bringing me to perdition!",b'There is no commentary by Abul Maududi available for this verse.'
3844,37,57,"""Had it not been for the Grace of my Lord, I should certainly have been among those brought (there)!","b'32. This shows how powerful will be man\x92s hearing, seeing and speaking powers in the Hereafter. Sitting in Paradise he bends his head a little and is able to see a person, who is undergoing torment thousands of miles away in Hell, without the agency of a television set. Then, they not only just see each other, but also commune with each other directly without the medium of the telephone or radio and they speak and hear each other over vast distances.'"
3845,37,58,"""Is it (the case) that we shall not die,",b'There is no commentary by Abul Maududi available for this verse.'
3846,37,59,"""Except our first death, and that we shall not be punished?""","b'33. The style clearly shows that while speaking to his friend in Hell, the dweller of Paradise suddenly starts talking to himself. He speaks these three sentences in a way as if he found himself in a state much better than that he ever expected and imagined for himself, and now being beside himself with wonder and joy he is engaged in a sort of soliloquy. In such a state the speaker does not speak to an addressee, nor the questions he asks are meant to find out something from somebody, but in this state the man\x92s own feelings find expression through his tongue. The dweller of Paradise, while speaking to the dweller of Hell, suddenly starts feeling how he has been favored by good fortune: now there is neither death nor any torment: all troubles and distresses have come to an end and he has been blessed with immortality. Under this very feeling he exclaims: Well are we not to die any other than our first death? Are we not to be punished?'"
3847,37,60,Verily this is the supreme achievement!,b'There is no commentary by Abul Maududi available for this verse.'
3848,37,61,"For the like of this let all strive, who wish to strive.",b'There is no commentary by Abul Maududi available for this verse.'
3849,37,62,Is that the better entertainment or the Tree of Zaqqum?,"b'34. Zaqqum is a tree of the cactus species found in Tihamah. It is bitter in taste, obnoxious in smell and sheds a milk like juice when cut or broken.'"
3850,37,63,For We have truly made it (as) a trial for the wrong-doers.,"b'35. That is, on hearing this, the disbelievers get a new opportunity to taunt the Quran and mock the Prophet (peace be upon him). They ridicule it saying: Listen another strange thing: A tree will grow in the blazing fire of Hell.'"
3851,37,64,For it is a tree that springs out of the bottom of Hell-Fire:,b'There is no commentary by Abul Maududi available for this verse.'
3852,37,65,The shoots of its fruit-stalks are like the heads of devils:,"b'36. Nobody should have the misunderstanding that since no one has seen the head of Satan, it was no use likening the buds of zaqqum to it. This is, in fact, an imaginative kind of the simile, and is employed in the literature of every language. For example, in order to give an idea of the rare beauty of a woman, it is said she is a fairy, and in order to describe her ugliness, it is said that she is a hag or a demon. Likewise, a pious-looking person is described as an angel and a dreadful-looking person as a devil.'"
3853,37,66,Truly they will eat thereof and fill their bellies therewith.,b'There is no commentary by Abul Maududi available for this verse.'
3854,37,67,Then on top of that they will be given a mixture made of boiling water.,b'There is no commentary by Abul Maududi available for this verse.'
3855,37,68,Then shall their return be to the (Blazing) Fire.,"b'37. This shows that when the dwellers of Hell will be in distress due to hunger and thirst, they will be driven to the side where there would be the zaqqum trees and the springs of boiling water. When they will have eaten and drunk, they will be brought back to Hell.'"
3856,37,69,Truly they found their fathers on the wrong Path;,b'There is no commentary by Abul Maududi available for this verse.'
3857,37,70,So they (too) were rushed down on their footsteps!,b'There is no commentary by Abul Maududi available for this verse.'
3858,37,71,"And truly before them, many of the ancients went astray;-",b'There is no commentary by Abul Maududi available for this verse.'
3859,37,72,"But We sent aforetime, among them, (messengers) to admonish them;-",b'There is no commentary by Abul Maududi available for this verse.'
3860,37,73,"Then see what was the end of those who were admonished (but heeded not),-",b'There is no commentary by Abul Maududi available for this verse.'
3861,37,74,Except the sincere (and devoted) Servants of Allah.,"b'38. That is, they never used their own common sense to see whether the way their forefathers had been following was right or wrong; they just blindly adopted the way that they found others following.'"
3862,37,75,"(In the days of old), Noah cried to Us, and We are the best to hear prayer.",b'39. This theme is related with the preceding sentences. A study of them shows why these stories are being narrated here.'
3863,37,76,"And We delivered him and his people from the Great Calamity,","b'41. That is, from the severe distress that was being caused to him on account of the continuous opposition and antagonism of a wicked and cruel people. This also contains a subtle allusion that just as the Prophet Noah (peace be upon him) and his companions were saved from the great distress, so We will also ultimately save the Prophet Muhammad (peace be upon him) and his companions from the great distress that is being caused to them by the people of Makkah.'"
3864,37,77,And made his progeny to endure (on this earth);,b'42. This can have two meanings.'
3865,37,78,And We left (this blessing) for him among generations to come in later times:,b'There is no commentary by Abul Maududi available for this verse.'
3866,37,79,"""Peace and salutation to Noah among the nations!""","b'43. That is there is none in the world today, who would talk evil of the Prophet Noah (peace be upon him). After the flood till today the world has been praising and speaking well of him for thousands of years.'"
3867,37,80,Thus indeed do we reward those who do right.,b'There is no commentary by Abul Maududi available for this verse.'
3868,37,81,For he was one of our believing Servants.,b'There is no commentary by Abul Maududi available for this verse.'
3869,37,82,Then the rest we overwhelmed in the Flood.,b'There is no commentary by Abul Maududi available for this verse.'
3870,37,83,Verily among those who followed his Way was Abraham.,b'There is no commentary by Abul Maududi available for this verse.'
3871,37,84,Behold! he approached his Lord with a sound heart.,"b'44. \x93Approached his Lord\x94: Turned to his Lord sincerely and exclusively; \x93with a sound heart\x94: With a heart that was free from all kinds of moral evils and weaknesses of faith, free from every trace of unbelief and shirk, doubt and suspicion, from every feeling of disobedience and rebellion, from every crookedness, confusion and complexity, and free from every evil inclination and desire, and a heart that neither cherished any malice and jealousy and ill-will against anyone, nor had any evil intention.'"
3872,37,85,"Behold! he said to his father and to his people, ""What is that which ye worship?","b'45. For further details of this story of the Prophet Abraham (peace be upon him), see (Surah Al-Anaam,Ayats 72-90); (Surah Maryam, Ayats 41-60); (Surah Al-Anbiya, Ayats 51-75); (Surah Ash-Shuara, Ayats 69-89); (Surah Al- Ankabut, Ayats 16-17) and the E.Ns thereof.'"
3873,37,86,"""Is it a falsehood- gods other than Allah- that ye desire?",b'There is no commentary by Abul Maududi available for this verse.'
3874,37,87,"""Then what is your idea about the Lord of the worlds?""","b'46. That is, why have you formed such a wrong view of Allah? Do you think that the gods that you yourselves have carved out from wood and stone can be like Him, or can be His associates in his attributes and rights? And are you involved in the misunderstanding that you will somehow manage to escape His punishment after you have indulged in such blasphemy?'"
3875,37,88,Then did he cast a glance at the Stars.,"b'47. The reference is to a particular incident the details of which have been given in (Surah Al-Anbiya, Ayats 71-73 )and (Surah Al-Ankabut, AYats 16-27).'"
